platform,column,target_audience,primary_feature,secondary_feature,site_layer,landing_page,template_library,case_library,content_goal,content_structure,cta,top_funnel_metric,mid_funnel_metric,bottom_funnel_metric,weekly_baseline,review_action,owner
小红书,高价值任务拆箱,运营/产品/销售/研究,Kimi Work,Docs/Sheets,产品转化资产层,Kimi Work 入门页,任务卡模板库,用户交付物案例库,收藏并照做真实任务,痛点首图->原始材料->操作步骤->结果截图->模板,评论关键词领模板,收藏率,关键词评论/模板领取,7日高价值任务完成,每周2条,收藏高完成低则补步骤图和社群打卡,内容负责人
小红书,Work 模板速领,运营新人/项目经理/内容团队,Docs,Sheets,产品转化资产层,模板领取页,岗位模板库,模板首用案例库,推动模板领取和首用,模板名->适用场景->字段->结果预览->复制方式,评论模板领取,收藏率,模板领取/主页点击,首次任务开始,每周2条,领取高首用低则简化模板字段,内容负责人
小红书,Agent 分工图解,产品/市场/AI重度用户,Kimi Agent,Agent Swarm,产品转化资产层,Agent 入门页,Agent 分工模板库,Agent 任务案例库,降低 Agent 理解门槛,任务目标->Agent分工->人工校验->交付物,收藏分工图,转发/收藏,Agent相关评论,Agent激活,每周2条,评论困惑高则补原理解释,内容负责人
小红书,高付费场景卡,管理者/销售/自由职业者,Kimi Work,Deep Research,产品转化资产层,高价值任务场景页,高付费场景模板库,高付费用户案例库,吸引高付费人群,人群画像->任务成本->Kimi介入->商业价值,评论岗位领场景包,收藏率,岗位关键词评论,升级点击/私信线索,每周1条,高意向多则转公众号行业包,内容负责人
小红书,用户交付物改造,UGC用户/内容团队,Docs,Sheets,产品转化资产层,用户案例库首页,交付物改造模板库,用户交付物案例库,把用户结果变案例,用户原任务->工作流->前后对比->模板,投稿真实任务,UGC投稿,案例授权,案例带来的任务完成,每周1条,授权多则做案例系列,内容负责人
抖音,60 秒交付演示,泛职场/运营新人,Kimi Work,Docs/Slides,产品转化资产层,Kimi Work 功能页,60 秒任务模板库,快速首用案例库,用结果刺激首用,任务压力->输入->过程->结果,搜索Kimi试同款,完播率,搜索提升/链接点击,首次任务开始,每周2条,完播高点击低则重写CTA,短视频
抖音,Agent 分身干活,职场人/产品市场,Kimi Agent,Agent Swarm,产品转化资产层,Agent 演示页,Agent 分工模板库,Agent 任务案例库,让 Agent 分工可视化,忙不过来->多Agent分工->合并结果->确认,评论agent领分工卡,完播率,评论问题,Agent激活/完成,每周1条,激活低则换真实任务演示,短视频
抖音,老板突然要系列,职场人/管理者,Kimi Work,Deep Research,产品转化资产层,职场突发交付页,突发任务模板库,职场交付案例库,承接突发交付压力,老板需求->普通耗时->Kimi做法->对比,评论老板需求,完播率,评论需求,模板领取/首用,每周1条,评论多则进入社群门诊,短视频
抖音,功能三连用,内容团队/PMM,Docs,Sheets/Slides,产品转化资产层,功能组合教程页,功能组合模板库,功能渗透案例库,推动多功能渗透,一个任务->三功能串联->组合结果,选一个功能试,完播率,功能入口点击,功能完成率,每周1条,点击高完成低则补教程,短视频
视频号,办公交付流,企业微信职场人,Kimi Work,Docs/Scheduled Tasks,产品转化资产层,办公工作流页,办公模板库,私域任务完成案例库,转发和私域承接,办公场景->Kimi处理->交付物->模板,进群领模板,转发,私域入群/模板领取,社群任务完成,每周1条,入群高完成低则加打卡,短视频
视频号,管理者 10 分钟,管理者/HR/PM,Docs,Sheets,产品转化资产层,管理者工作流页,管理者模板库,管理者案例库,呈现管理时间价值,管理痛点->资料输入->决策摘要->清单,预约直播拆解,转发/私信,直播预约,高意向线索,每周1条,私信多则做公众号长文,短视频
视频号,销售拜访前,销售/BD/CS,Deep Research,Docs/Scheduled Tasks,产品转化资产层,销售工作流页,销售模板库,销售任务案例库,吸引商业人群,客户官网->Kimi拆客户->问题->跟进,评论客户类型,完播/转发,评论客户类型,销售场景任务完成,每周1条,转化好则做销售行业包,短视频
