category,title,url,textChars,signals,headings,localText
01-user-education,Anthropic Education Report: The AI Fluency Index,https://www.anthropic.com/research/AI-fluency-index,17328,ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Anthropic Education Report: The AI Fluency Index | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Announcements | Anthropic Education Report: The AI Fluency Index,sources\text\www_anthropic_com__research-AI-fluency-index__9bbe59235b89.txt
01-user-education,Introducing Claude for Nonprofits,https://www.anthropic.com/news/claude-for-nonprofits,11145,new-user-onboarding|ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Introducing Claude for Nonprofits | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Announcements | Claude for Nonprofits,sources\text\www_anthropic_com__news-claude-for-nonprofits__e800397589b4.txt
01-user-education,Anthropic Academy: Claude API Development Guide,https://www.anthropic.com/learn/build-with-claude,8192,new-user-onboarding|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Anthropic Academy: Claude API Development Guide | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Anthropic Academy Build with Claude | Start building Developer docs,sources\text\www_anthropic_com__learn-build-with-claude__8bfc097ccd85.txt
01-user-education,Advancing Claude for Education,https://www.anthropic.com/news/advancing-claude-for-education,7568,ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Advancing Claude for Education | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Product | Advancing Claude for Education,sources\text\www_anthropic_com__news-advancing-claude-for-education__8b2f0f4a8adc.txt
01-user-education,Anthropic and Teach For All launch global AI training initiative for educators,https://www.anthropic.com/news/anthropic-teach-for-all,7530,ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Anthropic and Teach For All launch global AI training initiative for educators | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Announcements | Anthropic and Teach For All launch global AI training initiative for educators,sources\text\www_anthropic_com__news-anthropic-teach-for-all__2e5078e6cabd.txt
01-user-education,Anthropic launches higher education advisory board and AI Fluency courses,https://www.anthropic.com/news/anthropic-higher-education-initiatives,7246,ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Anthropic launches higher education advisory board and AI Fluency courses | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Announcements | Anthropic launches higher education advisory board and AI Fluency courses,sources\text\www_anthropic_com__news-anthropic-higher-education-initiatives__1a5d9c6455b7.txt
01-user-education,Anthropic joins White House pledge for AI education,https://www.anthropic.com/news/anthropic-signs-pledge-to-americas-youth-investing-in-ai-education,7145,ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Anthropic joins White House pledge for AI education | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Announcements | Anthropic Signs White House Pledge to America's Youth: Investing in AI Education,sources\text\www_anthropic_com__news-anthropic-signs-pledge-to-americas-youth-investing-in-ai-education__8c1070cd2001.txt
01-user-education,Anthropic Courses,https://anthropic.skilljar.com/,6133,new-user-onboarding|ai-fluency|course-learning|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Anthropic Courses | Back | Header Navigation | Anthropic Academy | Courses | Sign In | Anthropic Academy | Courses | Sign In | Plans,sources\text\anthropic_skilljar_com__home__fa53afcc388e.txt
01-user-education,AI Fluency: Framework and Foundations,https://www.anthropic.com/learn/claude-for-you,3839,new-user-onboarding|ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: AI Fluency: Framework and Foundations | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Anthropic Academy Claude for personal | Try Claude Get help,sources\text\www_anthropic_com__learn-claude-for-you__5c01379dccff.txt
01-user-education,Anthropic Academy: Claude AI Solutions for Business,https://www.anthropic.com/learn/claude-for-work,3607,new-user-onboarding|ai-fluency|course-learning|role-use-case|workspace-features|agent-tooling|trust-enterprise|small-business-team,TITLE: Anthropic Academy: Claude AI Solutions for Business | Skip to main content Skip to footer | Research | Policy | Commitments | Learn | News | Try Claude | Anthropic Academy Claude for work | Learn to implement Claude across your organization and maximize team productivity,sources\text\www_anthropic_com__learn-claude-for-work__1bc925cb5a1c.txt
