week,day,platform,column,site_layer,landing_page,template_library,case_library,title,feature,audience,asset,cta,owner,status
1,Mon,小红书,高价值任务拆箱,产品转化资产层,Kimi Work 入门页,任务卡模板库,用户交付物案例库,一份混乱需求如何变成 Kimi Work 任务卡,Kimi Work/Docs,运营新人,任务卡模板,评论任务卡领取,内容负责人,todo
1,Mon,抖音,Agent 分身干活,产品转化资产层,Agent 演示页,Agent 分工模板库,Agent 任务案例库,把老板语音转成 3 个 Agent 分工任务,Kimi Agent/Docs,职场人,分工清单,评论分工领取,短视频,todo
1,Mon,即刻/微博,今日 Kimi 任务,产品转化资产层,今日任务库,轻量任务模板库,社区共创案例库,把今天的混乱笔记收口,Docs,泛职场,日清单,评论晒结果,社群运营,todo
1,Tue,B站,Kimi Agent 项目课,产品转化资产层,Agent 课程页,项目资料库,项目级案例库,Agent Swarm 做竞品内容阵地扫描,Agent Swarm/Sheets,市场团队,阵地扫描表,下载资料包,视频负责人,todo
1,Tue,知乎,Agent 原理不玄学,公司级内容资产层,Agent 方法论文章,Agent 判断清单,Agent 任务案例库,Kimi Agent 什么时候需要停下来问人,Kimi Agent,AI 重度用户,介入判断表,收藏判断清单,内容负责人,todo
1,Tue,视频号,管理者 10 分钟,产品转化资产层,管理者工作流页,管理者模板库,管理者案例库,用 Kimi 给团队生成本周优先级冲突清单,Docs/Sheets,管理者,冲突清单,预约直播拆解,短视频,todo
1,Wed,小红书,Work 模板速领,产品转化资产层,模板领取页,岗位模板库,模板首用案例库,Kimi Work 做项目复盘最该问的 8 个问题,Docs/Sheets,项目经理,复盘问题卡,评论复盘领取,内容负责人,todo
1,Wed,抖音,60 秒交付演示,产品转化资产层,Kimi Work 功能页,60 秒任务模板库,快速首用案例库,用 Kimi 把 5 个行业报告合成销售话术库,Deep Research/Docs,销售,话术库,搜索 Kimi 试同款,短视频,todo
1,Thu,公众号,高付费人群案例库,产品转化资产层,高付费场景页,高付费场景模板库,高付费客户案例库,创始人周报如何变成投资人更新,Docs/Slides,创始人,投资人 update,领取 update 模板,内容负责人,todo
1,Thu,即刻/微博,这个功能怎么用,产品转化资产层,新功能页,功能场景卡库,功能渗透案例库,Scheduled Tasks 每周提醒更新竞品表,Scheduled Tasks/Sheets,产品市场,自动提醒任务,转发给产品同事,社群运营,todo
1,Fri,小红书,高付费场景卡,产品转化资产层,高价值任务场景页,高付费场景模板库,高付费用户案例库,把月度 OKR 交给 Kimi 生成项目风险预案,Docs/Sheets,管理者,风险预案,评论 OKR 领取,内容负责人,todo
